Year,Q (liters),P (yen/liter),Tax_rate (%),GDP (trillion yen),ln_Q,ln_P,ln_GDP,ln_Tax_rate,Δln_Q,Δln_P,Δln_GDP,Δln_Tax_rate
2009Q2,14124355000.0,118.1,49.64,119.6,23.371166449219483,4.771531723203316,4.784152841516532,3.9047969603364066,0.02881452988382094,0.07926683036429161,-0.010231757522684681,-0.07936064285093858
2009Q3,15257144000.0,126.5,46.35,122.18,23.448313689323555,4.840242308167575,4.805495367221621,3.836221292011864,0.07714724010407181,0.06871058496425864,0.02134252570508899,-0.06857566832454243
2009Q4,15023558000.0,127.1,46.13,127.99,23.43288533938424,4.844974178195408,4.8519521358677,3.8314634975697293,-0.015428349939316632,0.004731870027833374,0.04645676864607928,-0.004757794442134866
2010Q1,13764302000.0,128.7,45.56,126.09,23.345344265937072,4.857484114602081,4.836995937685135,3.8190301385789813,-0.08754107344716644,0.01250993640667275,-0.014956198182565217,-0.012433358990747934
2010Q2,13989837000.0,137.2,42.73,123.77,23.36159697437651,4.921439715291784,4.818425004551931,3.7549012496559335,0.01625270843943838,0.0639556006897033,-0.018570933133204015,-0.0641288889230478
2010Q3,15851440000.0,133.9,43.79,129.02,23.48652618487795,4.897093252697127,4.859967431104096,3.779405480813307,0.12492921050143835,-0.024346462594657226,0.04154242655216489,0.024504231157373546
2010Q4,14762307000.0,132.5,44.25,131.84,23.415342944718045,4.886582645426277,4.881589066161162,3.7898553714539385,-0.07118324015990396,-0.010510607270850514,0.021621635057066158,0.010449890640631398
2011Q1,13593462000.0,141.1,41.55,127.44,23.33285477880404,4.9494688588587685,4.847645665601793,3.7268975213014572,-0.08248816591400399,0.0628862134324919,-0.03394340055936862,-0.06295785015248123
2011Q2,13448528000.0,150.3,39.01,122.7,23.322135494625822,5.012633296758929,4.809742351716865,3.663818023518565,-0.010719284178218658,0.06316443790016013,-0.03790331388492785,-0.06307949778289235
2011Q3,15241188000.0,148.6,39.45,128.61,23.447267336922657,5.001258132283659,4.856784569277996,3.6750340472918834,0.1251318422968346,-0.011375164475269983,0.04704221756113025,0.01121602377331854
2011Q4,14619344000.0,143.2,40.94,132.09,23.405611420220314,4.964242254526545,4.883483508435773,3.7121075802331434,-0.04165591670234292,-0.03701587775711346,0.02669893915777699,0.037073532941259923
2012Q1,13904742000.0,146.6,39.99,131.28,23.355495769983396,4.987707789452551,4.8773324467818355,3.688629422858727,-0.05011565023691844,0.02346553492600556,-0.006151061653937084,-0.023478157374416497
2012Q2,13480072000.0,150.6,38.93,126.14,23.3244782836626,5.014627315365793,4.837392401235505,3.6617651616223643,-0.031017486320795484,0.026919525913242204,-0.039940045546330794,-0.02686426123636254
2012Q3,15181511000.0,143.3,40.91,128.44,23.44334414282716,4.964940334834126,4.855461869221313,3.711374531941307,0.11886585916456127,-0.04968698053166687,0.018069467985807997,0.04960937031894286
2012Q4,14532867000.0,147.2,40.37,132.0,23.399678610962525,4.991792206294776,4.882801922586371,3.6980869348648495,-0.04366553186463662,0.026851871460650045,0.027340053365057848,-0.013287597076457658
2013Q1,13252958000.0,153.4,38.74,131.34,23.307486609746142,5.0330488889331555,4.8777893807628265,3.65687265797885,-0.09219200121638238,0.04125668263837934,-0.005012541823544048,-0.041214276885999546
2013Q2,13355338000.0,152.9,38.87,128.46,23.315181992061152,5.029784112935016,4.855617571829646,3.660222744864132,0.00769538231500988,-0.0032647759981392355,-0.02217180893318016,0.003350086885281822
2013Q3,14849870000.0,158.6,37.47,132.36,23.42125694794805,5.066385309200747,4.885525483053412,3.623540612805596,0.1060749558868963,0.036601196265730884,0.02990791122376546,-0.03668213205853599
2013Q4,14017059000.0,158.4,37.52,136.09,23.363540924793046,5.0651234793803255,4.913316431572226,3.624874124138024,-0.05771602315500246,-0.0012618298204216671,0.02779094851881414,0.0013335113324282055
2014Q1,13196561000.0,158.4,37.52,135.16,23.30322210229179,5.0651234793803255,4.90645926184609,3.624874124138024,-0.0603188225012552,0.0,-0.0068571697261363695,0.0
2014Q2,12737588000.0,165.6,36.91,128.34,23.26782314420544,5.109575241951159,4.8546829923223696,3.608482517041907,-0.03539895808635052,0.04445176257083361,-0.05177626952372005,-0.016391607096116978
2014Q3,13916093000.0,168.5,36.28,130.93,23.35631177716865,5.126935749792416,4.874662829239662,3.591266625246936,0.08848863296320886,0.01736050784125709,0.019979836917292104,-0.01721589179497096
2014Q4,13700054000.0,159.0,38.45,135.38,23.34066561137856,5.0689042022202315,4.908085639080461,3.649358695951653,-0.015646165790087707,-0.05803154757218465,0.033422809840799594,0.058092070704717
2015Q1,12621344000.0,138.8,44.04,135.55,23.25865518601183,4.933034048072704,4.909340575944674,3.785098311854479,-0.08201042536673242,-0.13587015414752734,0.0012549368642131853,0.13573961590282613
2015Q2,10851640000.0,141.9,43.08,131.37,23.10758205758429,4.955122584165997,4.878017769481417,3.7630588522881876,-0.15107312842754084,0.022088536093292532,-0.03132280646325736,-0.022039459566291608
2015Q3,11657561000.0,139.1,43.95,133.75,23.179220819315884,4.935193098929397,4.8959723857761155,3.783052624131186,0.07163876173159522,-0.019929485236599653,0.01795461629469841,0.01999377184299833
2015Q4,11979455000.0,130.8,46.74,137.42,23.20645893611142,4.873669439023098,4.92304192960293,3.844600329110712,0.027238116795537337,-0.06152365990629871,0.0270695438268147,0.061547704979525886
2016Q1,12641113000.0,114.4,53.44,136.88,23.260220275586082,4.739701078945697,4.919104629583938,3.97855952922839,0.05376133947466144,-0.1339683600774011,-0.003937300018992396,0.13395920011767837
2016Q2,12702270000.0,119.4,51.2,131.99,23.265046554596317,4.782479200958502,4.882726162140863,3.9357395320454622,0.004826279010234913,0.04277812201280451,-0.03637846744307449,-0.04281999718292795
2016Q3,14096307000.0,122.6,49.86,134.43,23.36917868513122,4.808927023502111,4.901043617466161,3.9092190780954117,0.10413213053490367,0.026447822543609334,0.01831745532529805,-0.026520453950050538
2016Q4,13408917000.0,126.1,48.48,138.83,23.319185770352284,4.837075242970874,4.933250163046711,3.881151341761059,-0.04999291477893664,0.028148219468763003,0.03220654558055003,-0.028067736334352666
2017Q1,12300733000.0,131.6,46.45,138.22,23.232924691045095,4.879767018891217,4.928846618663249,3.8383764652598478,-0.08626107930718874,0.04269177592034268,-0.0044035443834626875,-0.042774876501211256
2017Q2,12577404000.0,132.6,46.1,133.9,23.25516770762322,4.887337077751762,4.897093252697127,3.8308129500026027,0.02224301657812333,0.007570058860545181,-0.03175336596612155,-0.007563515257245079
2017Q3,13867883000.0,131.2,46.59,137.18,23.35284142804482,4.876722876509988,4.921293932071175,3.8413859258287055,0.09767372042160005,-0.010614201241773813,0.02420067937404813,0.010572975826102837
2017Q4,13157908000.0,138.3,44.2,141.92,23.300288783641708,4.929425238670713,4.955263518561269,3.7887247890836524,-0.052552644403110804,0.05270236216072455,0.03396958649009374,-0.05266113674505313
2018Q1,12196639000.0,144.0,42.45,140.17,23.224426258927505,4.969813299576001,4.942855971674966,3.7483269127573564,-0.07586252471420352,0.040388060905288015,-0.012407546886302967,-0.04039787632629599
2018Q2,12438772000.0,147.7,41.39,135.69,23.244084205558547,4.995183189537334,4.910372872157861,3.7230393057606412,0.019657946631042478,0.02536988996133349,-0.03248309951710482,-0.025287606996715173
2018Q3,13663073000.0,152.4,40.11,137.13,23.337962629185363,5.026508643252546,4.920929381011763,3.6916256797819615,0.09387842362681553,0.03132545371521189,0.01055650885390147,-0.03141362597867969
2018Q4,12700635000.0,154.8,39.49,141.77,23.264917829161,5.042133961155627,4.95420602612954,3.676047475298558,-0.07304480002436264,0.01562531790308075,0.033276645117777726,-0.015578204483403635
2019Q1,11822426000.0,143.8,42.51,139.94,23.19326407321129,4.9684234452869465,4.94121375931775,3.749739342370699,-0.07165375594971124,-0.07371051586868038,-0.01299226681179011,0.07369186707214093
2019Q2,11996875000.0,148.3,41.22,135.67,23.207912036153438,4.999237249143887,4.910225466497217,3.718923575462313,0.014647962942149206,0.030813803856940325,-0.030988292820532948,-0.030815766908385722
2019Q3,13483276000.0,144.7,42.25,137.94,23.3247159396106,4.974662633637438,4.926818808003145,3.7436043538031827,0.11680390345716063,-0.024574615506448794,0.01659334150592784,0.02468077834086957
2019Q4,12348793000.0,147.3,42.27,138.99,23.236824162450713,4.9924713234685845,4.934401988096667,3.7440776145786985,-0.08789177715988572,0.017808689831146474,0.007583180093521769,0.0004732607755157936
2020Q1,11278332000.0,147.3,42.27,137.52,23.146149199741707,4.9924713234685845,4.923769361074594,3.7440776145786985,-0.09067496270900577,0.0,-0.010632627022072683,0.0
2020Q2,9154249000.0,129.3,48.15,122.5,22.937483980031423,4.8621352857778115,4.808111029984782,3.8743211382441345,-0.20866521971028362,-0.13033603769077295,-0.11565833108981227,0.130243523665436
2020Q3,9909818000.0,134.2,46.39,131.08,23.016791819832076,4.8993312245375815,4.8758078238306135,3.8370839187636525,0.07930783980065215,0.03719593875977001,0.0676967938458315,-0.037237219480481976
2020Q4,10547668000.0,133.9,46.5,138.41,23.07917062978093,4.897093252697127,4.930220294908611,3.8394523125933104,0.062378809948853586,-0.002237971840454378,0.05441247107799718,0.002368393829657922
2021Q1,10814435000.0,142.3,43.75,136.65,23.10414765273063,4.957937505095806,4.917422912374077,3.7784916128036232,0.024977022949702388,0.06084425239867919,-0.012797382534533774,-0.06096069978968721
2021Q2,10978363000.0,152.4,40.85,132.35,23.1191921726597,5.026508643252546,4.88544992867311,3.709906821306012,0.015044519929070077,0.06857113815673976,-0.03197298370096657,-0.06858479149761143
2021Q3,11942311000.0,158.2,39.36,134.15,23.203353477271047,5.063860055333554,4.8989585768716335,3.6727500721840527,0.08416130461134586,0.03735141208100767,0.013508648198523154,-0.0371567491219591
2021Q4,11032438000.0,166.4,37.42,140.63,23.124105679332384,5.114394528387108,4.9461323278821565,3.6222053208459437,-0.07924779793866321,0.05053447305355441,0.04717375101052301,-0.050544751338108984
2022Q1,10555811000.0,171.3,36.35,137.91,23.079942350917918,5.143416405330075,4.926601298486246,3.5931942039795284,-0.04416332841446646,0.02902187694296643,-0.019531029395910338,-0.029011116866415332
2022Q2,10770439000.0,171.9,36.22,134.25,23.100071088658172,5.146912912388804,4.899703733388974,3.589611452455267,0.020128737740254365,0.0034965070587293923,-0.026897565097272036,-0.0035827515242612407
2022Q3,11942966000.0,170.3,36.56,135.84,23.20340832277275,5.1375615876686425,4.9114777225630375,3.5989547465859495,0.1033372341145764,-0.009351324720161536,0.01177398917406336,0.009343294130682356
2022Q4,11511999000.0,168.4,36.97,141.0,23.166655719665595,5.126342101808226,4.948759890378168,3.6101067729485403,-0.03675260310715345,-0.011219485860416434,0.03728216781513094,0.011152026362590828
2023Q1,10528480000.0,167.7,37.13,140.88,23.077349803195222,5.122176668829163,4.94790846418795,3.6144252681889886,-0.08930591647037289,-0.0041654329790628,-0.000851426190218163,0.00431849524044825
